comp_bytes	uncomp_bytes	num_apps	path	apps
1797	6136	1	AndroidManifest.xml	pipes
1796	6136	1	AndroidManifest.xml	chess
1795	13467	1	assets/holidays/Philippines.json	calendar
1789	8284	1	res/Vp.xml	alchemist
1781	4608	1	res/eq.xml	alchemist
1781	5156	1	res/xx.xml	alchemist
1779	1779	24	res/Li.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
1779	4688	1	res/Oh.xml	alchemist
1777	6100	1	res/5C.xml	alchemist
1777	7072	1	res/nn.xml	alchemist
1763	5784	1	res/tr.xml	alchemist
1762	5392	2	google/protobuf/wrappers.proto	messages,youpipe
1761	5612	1	res/QC.xml	alchemist
1760	6788	1	res/Rk.xml	alchemist
1748	5576	1	res/Z7.xml	alchemist
