comp_bytes	num_apps	waste_bytes	path	apps
525	24	12075	res/7o.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
524	24	12052	res/gZ.9.png	alchemist,calendar,camera,chess,clock,contacts,email,findfamily,health,maps,messages,music,notes,office,openassistant,passwords,pdf,photos,pipes,solitaire,unblockjam,weather,wordmaker,youpipe
523	8	3661	res/w7.xml	calendar,contacts,findfamily,office,openassistant,passwords,pdf,photos
523	2	523	res/xa.xml	camera,chess
521	3	1042	res/R0.xml	calendar,email,weather
519	4	1557	res/2R.xml	calendar,email,pdf,weather
519	4	1557	res/Ro.xml	calendar,email,pdf,weather
519	18	8823	res/2R.xml	alchemist,camera,chess,clock,contacts,findfamily,health,maps,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
519	18	8823	res/Ro.xml	alchemist,camera,chess,clock,contacts,findfamily,health,maps,messages,music,notes,office,openassistant,pipes,solitaire,unblockjam,wordmaker,youpipe
518	2	518	res/vv.xml	music,youpipe
